,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Seychelles,9000000.0,94.0,1.977401,856684174.3355019,945962968.234513,925654158.746992,915423405.095384,969936525.298729,1046438130.96225,1115610241.47237,1183102676.00985,1222346014.64363,1265101403.03841
Sierra Leone,67000000.0,11.0,64.02439,2083567039.51163,2251467571.5559,2373039542.3628397,2483374322.3104897,2616610911.08235,2780636557.91627,3199014366.94802,3854410523.70372,4031360394.24972,3212944006.67315
Singapore,1120000000.0,207.0,0.0,185842757609.094,202775870920.425,206400733406.67398,205155335533.553,236421782178.21802,251097543087.642,260313164649.798,272484048404.841,281367070040.337,287017968463.513
Slovenia,287000000.0,139.0,31.86424,46564635761.5894,49796953642.3841,51440397350.9934,47429403973.5099,48016423841.0596,48328211920.5298,47014569536.4238,46517218543.0464,47935231788.0795,49315364238.4106
Solomon Islands,6000000.0,11.0,0.0,573756743.190212,615755744.042318,659440505.394746,628262999.367287,671585231.579861,758410960.574936,793757551.710719,817684474.941094,830010465.696136,857018886.6152719
Somalia,126000000.0,12.0,0.0,,,,,,,,,,
South Africa,6341000000.0,119.0,1.687019,340285160027.947,358526057738.423,369966781589.995,364276362720.086,375349442837.24,387407362601.25,396007124238.28204,404768205399.94,411036853168.56104,416311671520.861
South Sudan,28000000.0,2.0,0.423729,,,14192832075.0773,14908383840.9088,15727363443.0995,14997563965.1164,8086368185.54746,9148086587.35648,9456710871.199871,8856230729.30292
Spain,4923000000.0,106.0,37.96859,1414822516556.29,1468145695364.24,1484529801324.5,1431475496688.74,1431672847682.12,1417354966887.42,1380215894039.73,1357139072847.68,1375605298013.24,1419821192052.98
Sri Lanka,388000000.0,19.0,59.57323,44825899741.2981,47872638202.9726,50721102373.424,52516077578.7272,56725745039.336,61493395362.8239,67116707719.9298,69395796204.8212,72781341623.5865,76264645401.5186
Sudan,608000000.0,16.0,78.41048,51106401194.5342,56994834761.4621,61441550872.0498,63433392297.3437,65634109236.7736,64342607849.351,62917610059.7192,64993891101.6889,67008701896.0555,69313544095.4987
Suriname,34000000.0,65.0,22.02381,3683884388.3194103,3872185689.6913204,4032626084.2276,4154157281.28651,4368398047.64333,4598490709.26871,4739716685.29764,4874217614.84901,4964045021.3708105,5038472542.21224
Swaziland,49000000.0,39.0,40.67797,3233867672.3231,3347171143.5183,3426616862.22066,3469461572.46804,3527776867.1802397,3574596526.66026,3682817057.3388705,3791428651.35001,3884332771.2449,3948711209.0724797
Sweden,2044000000.0,212.0,46.59846,472609920221.991,488702046479.36206,485979743322.927,460783350676.37897,488379327089.83704,501391744710.37103,499956156781.13104,506161637183.49,517636212278.87604,538826361429.067
Switzerland,1113000000.0,136.0,57.74548,541555032026.081,563977296960.3989,576820414037.7789,564536339725.765,581211708792.789,591699987438.8729,598354418927.989,608938294755.01,620444043436.571,626087832006.9039
Syrian Arab Republic,542000000.0,28.0,11.56827,,,,,,,,,,
Tajikistan,106000000.0,13.0,99.74292,4387963070.00791,4730224257.26005,5103911870.99051,5297860572.73719,5642221528.67072,6059745886.97114,6514226778.13271,6996279596.837971,7464977903.896391,7778506975.860041
Thailand,5336000000.0,79.0,4.305189,297868050989.676,314057455297.115,319477044016.926,317118409570.784,340923571200.889,343765791175.471,368623355242.115,378583990657.959,381679418683.633,392441568833.617
Timor-Leste,7000000.0,6.0,0.0,594000000.0,662000000.0,756000000.0,854000000.0,934000000.0,1023000000.0,1088000000.0,1118000000.0,1179490000.0,1229630119.9
Togo,134000000.0,19.0,80.18018,2818834121.81118,2883398217.58234,2947567674.9376802,3051036045.0310397,3172945644.5585,3327904819.97373,3488321264.1898303,3626730618.31805,3842067435.8639,4052430962.5759296
Tonga,3000000.0,28.0,0.0,359164570.836352,342746751.947984,351165464.377809,355026788.35761803,369816107.03042996,377283155.687716,379346733.269183,369197152.386492,377112574.911783,
Trinidad and Tobago,824000000.0,611.0,0.0,20335160406.3737,21301932566.5145,22024157839.7115,21057166821.9862,21037612736.256,21039082255.426003,21326491762.7778,21697521651.2887,21874677599.1698,22094796727.1996
Tunisia,430000000.0,39.0,3.492547,37129671719.9944,39620931745.1446,41299978412.7428,42556922174.0953,44050929160.2627,43000790834.1484,44591820106.1897,45617431954.7296,46666632876.9037,47039965977.3648
Turkey,4897000000.0,64.0,28.53669,668003383265.643,699189648233.048,703796182604.0409,669831853657.749,731168051636.9441,795311569806.302,812231510969.4491,846284392987.2571,871843182074.5441,906584905343.2991
Turkmenistan,1102000000.0,210.0,0.0,15301298963.195,16993515438.4036,19491562207.8489,20680547524.915,22583157894.7368,25902882088.9745,28778101990.8921,31713468423.1438,34979955661.3867,37253652747.7258
Turks and Caicos Islands,3000000.0,85.0,0.0,,,,,,,,,,
Tuvalu,,,0.0,29809991.9476302,31703094.825509496,34234035.600248404,32716491.6760401,31823518.6204366,34513663.7342317,34573875.631695196,35022709.402957395,35718922.224137604,
Uganda,452000000.0,12.0,68.01818,15181735924.6795,16458888219.6217,17892251960.4005,19189627258.1227,20181796802.8574,22134027408.4432,23110416877.5875,23866297743.8529,25015525160.89,26277053336.8578
Ukraine,4844000000.0,107.0,8.067312,139210317102.882,150207933221.569,153662715664.167,130920633730.864,136419300367.96199,143513103999.742,143800130204.453,143800130204.453,134309317355.14099,121012717783.735
United Arab Emirates,2710000000.0,300.0,0.0,278948949835.963,287831772785.526,297018891707.595,281446423169.57697,286049336038.12103,300946210244.793,321692225022.966,335593704978.687,350931309582.38,362100323851.568
United Kingdom,7920000000.0,124.0,10.60047,2419630700401.73,2482203235475.9,2470614405284.3,2367047611711.99,2403504326328.8,2450911011124.85,2479808627472.19,2533370110012.36,2605643189894.93,2666333396477.13
United States,90838000000.0,286.0,11.57098,14792303791800.0,15055395304800.0,15011490541400.0,14594842181900.0,14964372000000.0,15204019634600.0,15542161722300.0,15773666098800.0,16156618476000.0,16548573278300.0
Uruguay,196000000.0,58.0,71.60504,31393627859.3399,33447245428.7481,35847468145.846,37368653375.8239,40284682481.3918,42364231378.5018,43863153599.0444,45897324291.4658,47383842804.743,47849274693.9179
Uzbekistan,1798000000.0,62.0,21.32841,27989254700.1232,30766111719.3792,33535061774.1231,36251401777.8272,39332770928.9426,42597390916.0448,46090376971.1605,49777607128.8532,53809593306.2903,58114360770.7935
Vanuatu,3000000.0,10.0,14.70588,596169290.9481009,627025086.554647,667458933.182145,689570618.189538,700804286.224354,709376703.207254,721824490.38557,736038269.045342,752999145.565157,
Zambia,400000000.0,26.0,99.71467,14405693544.0162,15608919909.9456,16822341081.0698,18373419545.1419,20265552104.3964,21403581063.2962,23024380970.4175,24205950559.4005,25422273004.6687,26241270767.7555
Zimbabwe,480000000.0,32.0,52.53612,10062755569.0217,9695130198.50778,7982102821.16384,8459783044.33081,9422161300.0,10543908035.0329,11657893456.879,12180644491.5009,12649391052.8218,12785173627.385
