,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cameroon,307000000.0,14.0,70.88626,21124441590.6486,21812182534.8566,22441255963.7758,22874787499.6787,23622483983.7101,24600594629.4999,25729451635.8197,27160443492.9778,28770233461.5751,30565262485.9559
Canada,10431000000.0,296.0,61.94543,1564468853329.45,1596739898466.32,1612713061250.24,1565144676082.31,1613406134731.12,1664086754804.89,1693132927878.08,1730687770724.13,1773485821199.77,1792608764608.81
Cayman Islands,8000000.0,131.0,0.0,,,,,,,,,,
Central African Republic,23000000.0,5.0,85.63536,1774984666.3444,1856768185.03737,1894908553.51862,1927296727.82367,1986014845.6318398,2051568026.22204,2111033559.14343,1329698727.92454,1312982972.33268,1385019239.00865
Chad,77000000.0,6.0,0.0,8462426024.33746,8739274256.08724,9006057341.2583,9385905421.141779,10657705072.2884,10666537090.9999,11614000362.3244,12275998541.2593,13123040604.7701,13359255272.8226
Chile,1613000000.0,92.0,28.00657,191356021768.11102,201231572326.413,207857031084.45398,205702734759.52,217538271334.738,230241724512.103,242806316136.39102,252461742875.727,257198923398.34,262513014570.225
China,127191000000.0,93.0,19.75491,3992331462570.89,4559041383517.93,4997775145605.96,5459247267275.14,6039658508485.59,6612490294273.65,7124977970399.61,7672447738017.42,8230120617793.52,8797998940421.28
Hong Kong,585000000.0,82.0,0.0,201916372094.71,214969758150.61102,219544022644.222,214145185396.96698,228637697575.04,239645861296.69,243720566257.35898,251208086226.16602,257775655510.28,263860579574.34802
Colombia,1513000000.0,32.0,63.00284,245336908226.293,262266694764.28897,271568782707.966,276053874889.224,287018184637.529,305931280966.003,318302970054.38,333817265555.82,348457525761.04803,359196735931.90704
Comoros,5000000.0,7.0,11.62791,490258556.91160303,494181374.477147,496159418.72392404,505834527.27892804,516962886.786662,530403922.298966,546316039.8190651,565437101.179365,577094375.6296201,
Costa Rica,222000000.0,47.0,88.73642,31510279610.9643,34010727595.24,34939771575.7626,34584881725.6978,36298327620.1953,37938194036.3072,39898681617.7936,41270108615.7383,42715533185.6795,43893390015.9922
Croatia,321000000.0,75.0,64.28412,61088814230.6153,64234891205.4725,65553868300.4039,60713512917.076,59680624422.3702,59512765109.3403,58210965524.1422,57591646781.6468,57384066750.3548,58327812720.5909
Cuba,585000000.0,51.0,0.663532,55454307107.077,59481474880.5381,61930224928.5733,62827666170.9786,64328200000.0,66131296503.7544,68124752000.1304,69954605014.68599,,
Cyprus,82000000.0,71.0,6.480186,23374254602.0531,24527557385.1203,25423474625.8826,24907637951.7318,25247424010.9811,25349522711.7286,24728953808.3929,23260282189.2759,22679459775.8242,23039202804.9079
Czech Republic,1751000000.0,166.0,7.067134,196206259195.845,207055025839.996,212668195598.561,202371258174.811,207015860050.371,211087060104.82602,209186629176.41898,208081766439.945,212197944319.65198,221106119392.82602
Denmark,725000000.0,129.0,33.53766,331233619601.35803,333964367632.154,331566650664.106,314696751480.237,319810991980.93896,323495670418.378,323258476911.861,322470439714.799,326539713020.75,330388150993.04803
Djibouti,11000000.0,13.0,0.0,933783907.5461061,981407460.056192,1038328725.8753,1090583938.28285,1128611700.3618,1179032592.01788,1236125825.40744,1297930970.22735,1375809350.63202,
Dominica,2000000.0,28.0,36.63366,435815497.239283,463519138.904398,496184626.83789295,490395806.19145095,493703703.703704,493703703.703704,487501395.86823,490395806.19145095,509416216.886904,523474781.31397694
