Country,Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
Rwanda,148,6,6,7,2,1.17,1
Lesotho,149,6,6,25,3,4.17,3
Sierra Leone,150,5,5,18,2,3.6,1
Swaziland,151,5,5,6,0,1.2,1
Eritrea,152,5,5,7,1,1.4,1
Kyrgyzstan,153,5,5,2,0,0.4,1
Cambodia,154,5,5,42,0,8.4,3
Guadeloupe,155,5,5,0,0,0.0,0
New Caledonia,156,4,4,6,0,1.5,2
Equatorial Guinea,157,4,4,19,0,4.75,2
Honduras,158,4,4,0,0,0.0,0
Faroe Islands,159,4,4,8,4,2.0,2
Djibouti,160,4,4,13,0,3.25,2
Netherlands Antilles,161,3,3,8,0,2.67,1
Greenland,162,3,3,49,0,16.33,2
Afghanistan,163,3,3,0,0,0.0,0
Cape Verde,164,3,3,5,0,1.67,1
French Guiana,165,3,3,1,1,0.33,1
Samoa,166,3,3,13,1,4.33,1
Cayman Islands,167,2,2,2,0,1.0,1
Andorra,168,2,2,13,0,6.5,1
Antigua and Barbuda,169,2,2,0,0,0.0,0
Haïti,170,2,2,4,1,2.0,1
Nauru,171,2,2,0,0,0.0,0
Seychelles,172,2,2,7,2,3.5,1
Mali,173,2,2,0,0,0.0,0
Bermuda,174,2,2,12,0,6.0,1
Chad,175,2,2,0,0,0.0,0
Burundi,176,2,2,23,0,11.5,1
Liberia,177,1,1,1,0,1.0,1
Togo,178,1,1,0,0,0.0,0
British Indian Ocean Territory,179,1,1,37,0,37.0,1
American Samoa,180,1,1,0,0,0.0,0
Saint Helena,181,1,1,1,0,1.0,1
Gibraltar,182,1,1,0,0,0.0,0
Maldives,183,1,1,1,0,1.0,1
Gambia,184,1,1,0,0,0.0,0
Belize,185,1,1,6,0,6.0,1
Palau,186,1,1,0,0,0.0,0
Guyana,187,1,1,0,0,0.0,0
Christmas Island,188,1,1,0,0,0.0,0
Reunion,189,1,1,2,1,2.0,1
Saint Lucia,190,1,1,0,0,0.0,0
Mauritania,191,1,1,1,0,1.0,1
